gene_order,gene
1,A1BG
2,A1CF
3,A2M
4,A2ML1
5,A4GALT
6,A4GNT
7,AAAS
8,AACS
9,AADAC
10,AADACL2
11,AADACL3
12,AADACL4
13,AADAT
14,AAGAB
15,AAK1
16,AAMP
17,AANAT
18,AARS
19,AARS2
20,AARSD1
21,AASDH
22,AASDHPPT
23,AASS
24,AATF
25,AATK
26,ABAT
27,ABCA1
28,ABCA10
29,ABCA12
30,ABCA13
31,ABCA2
32,ABCA3
33,ABCA4
34,ABCA5
35,ABCA6
36,ABCA7
37,ABCA8
38,ABCA9
39,ABCB1
40,ABCB10
41,ABCB11
42,ABCB4
43,ABCB5
44,ABCB6
45,ABCB7
46,ABCB8
47,ABCB9
48,ABCC1
49,ABCC10
50,ABCC11
51,ABCC12
52,ABCC2
53,ABCC3
54,ABCC4
55,ABCC5
56,ABCC6
57,ABCC8
58,ABCC9
59,ABCD1
60,ABCD2
61,ABCD3
62,ABCD4
63,ABCE1
64,ABCF1
65,ABCF2
66,ABCF3
67,ABCG1
68,ABCG2
69,ABCG4
70,ABCG5
71,ABCG8
72,ABHD1
73,ABHD10
74,ABHD11
75,ABHD12
76,ABHD12B
77,ABHD13
78,ABHD14A
79,ABHD14B
80,ABHD15
81,ABHD16A
82,ABHD16B
83,ABHD2
84,ABHD3
85,ABHD4
86,ABHD5
87,ABHD6
88,ABHD8
89,ABI1
90,ABI2
91,ABI3
92,ABI3BP
93,ABL1
94,ABL2
95,ABLIM1
96,ABLIM2
97,ABLIM3
98,ABO
99,ABR
100,ABRA
101,ABT1
102,ABTB1
103,ABTB2
104,ACAA1
105,ACAA2
106,ACACA
107,ACACB
108,ACAD10
109,ACAD11
110,ACAD8
111,ACAD9
112,ACADL
113,ACADM
114,ACADS
115,ACADSB
116,ACADVL
117,ACAN
118,ACAP1
119,ACAP2
120,ACAP3
121,ACAT1
122,ACAT2
123,ACBD3
124,ACBD4
125,ACBD5
126,ACBD6
127,ACBD7
128,ACCS
129,ACCSL
130,ACD
131,ACE
132,ACE2
133,ACER1
134,ACER2
135,ACER3
136,ACHE
137,ACIN1
138,ACLY
139,ACMSD
140,ACN9
141,ACO1
142,ACO2
143,ACOT1
144,ACOT11
145,ACOT12
146,ACOT13
147,ACOT2
148,ACOT4
149,ACOT6
150,ACOT7
151,ACOT8
152,ACOT9
153,ACOX1
154,ACOX2
155,ACOX3
156,ACOXL
157,ACP1
158,ACP2
159,ACP5
160,ACP6
161,ACPL2
162,ACPP
163,ACPT
164,ACR
165,ACRBP
166,ACRC
167,ACRV1
168,ACSBG1
169,ACSBG2
170,ACSF2
171,ACSF3
172,ACSL1
173,ACSL3
174,ACSL4
175,ACSL5
176,ACSL6
177,ACSM1
178,ACSM2A
179,ACSM2B
180,ACSM3
181,ACSM4
182,ACSM5
183,ACSS1
184,ACSS2
185,ACSS3
186,ACTA1
187,ACTA2
188,ACTB
189,ACTBL2
190,ACTC1
191,ACTG1
192,ACTG2
193,ACTL10
194,ACTL6A
195,ACTL6B
196,ACTL7A
197,ACTL7B
198,ACTL8
199,ACTL9
200,ACTN1
201,ACTN2
202,ACTN3
203,ACTN4
204,ACTR10
205,ACTR1A
206,ACTR1B
207,ACTR2
208,ACTR3
209,ACTR3B
210,ACTR3C
211,ACTR5
212,ACTR6
213,ACTR8
214,ACTRT1
215,ACTRT2
216,ACVR1
217,ACVR1B
218,ACVR1C
219,ACVR2A
220,ACVR2B
221,ACVRL1
222,ACY1
223,ACY3
224,ACYP1
225,ACYP2
226,ADA
227,ADAD1
228,ADAD2
229,ADAL
230,ADAM10
231,ADAM11
232,ADAM12
233,ADAM15
234,ADAM17
235,ADAM18
236,ADAM19
237,ADAM2
238,ADAM20
239,ADAM21
240,ADAM22
241,ADAM23
242,ADAM28
243,ADAM29
244,ADAM30
245,ADAM32
246,ADAM33
247,ADAM7
248,ADAM8
249,ADAM9
250,ADAMDEC1
251,ADAMTS1
252,ADAMTS10
253,ADAMTS12
254,ADAMTS13
255,ADAMTS14
256,ADAMTS15
257,ADAMTS16
258,ADAMTS17
259,ADAMTS18
260,ADAMTS19
261,ADAMTS2
262,ADAMTS20
263,ADAMTS3
264,ADAMTS4
265,ADAMTS5
266,ADAMTS6
267,ADAMTS7
268,ADAMTS8
269,ADAMTS9
270,ADAMTSL1
271,ADAMTSL2
272,ADAMTSL3
273,ADAMTSL4
274,ADAMTSL5
275,ADAP1
276,ADAP2
277,ADAR
278,ADARB1
279,ADARB2
280,ADAT1
281,ADAT2
282,ADAT3
283,ADC
284,ADCK1
285,ADCK2
286,ADCK3
287,ADCK4
288,ADCK5
289,ADCY1
290,ADCY10
291,ADCY2
292,ADCY3
293,ADCY4
294,ADCY5
295,ADCY6
296,ADCY7
297,ADCY8
298,ADCY9
299,ADCYAP1
300,ADCYAP1R1
301,ADD1
302,ADD2
303,ADD3
304,ADH1A
305,ADH1B
306,ADH1C
307,ADH4
308,ADH5
309,ADH6
310,ADH7
311,ADHFE1
312,ADI1
313,ADIG
314,ADIPOQ
315,ADIPOR1
316,ADIPOR2
317,ADK
318,ADM
319,ADM2
320,ADNP
321,ADNP2
322,ADO
323,ADORA1
324,ADORA2A
325,ADORA2B
326,ADORA3
327,ADPGK
328,ADPRH
329,ADPRHL1
330,ADPRHL2
331,ADRA1A
332,ADRA1B
333,ADRA1D
334,ADRA2A
335,ADRA2B
336,ADRA2C
337,ADRB1
338,ADRB2
339,ADRB3
340,ADRBK1
341,ADRBK2
342,ADRM1
343,ADSL
344,ADSS
345,ADSSL1
346,AEBP1
347,AEBP2
348,AEN
349,AES
350,AFAP1
351,AFAP1L1
352,AFAP1L2
353,AFF1
354,AFF2
355,AFF3
356,AFF4
357,AFG3L2
358,AFM
359,AFMID
360,AFP
361,AFTPH
362,AGA
363,AGAP1
364,AGAP11
365,AGAP2
366,AGAP3
367,AGAP5
368,AGAP6
369,AGAP7
370,AGAP8
371,AGAP9
372,AGBL1
373,AGBL2
374,AGBL3
375,AGBL4
376,AGBL5
377,AGER
378,AGFG1
379,AGFG2
380,AGGF1
381,AGK
382,AGL
383,AGMAT
384,AGMO
385,AGPAT1
386,AGPAT2
387,AGPAT3
388,AGPAT4
389,AGPAT5
390,AGPAT6
391,AGPAT9
392,AGPS
393,AGR2
394,AGR3
395,AGRN
396,AGRP
397,AGT
398,AGTPBP1
399,AGTR1
400,AGTR2
401,AGTRAP
402,AGXT
403,AGXT2
404,AHCTF1
405,AHCY
406,AHCYL1
407,AHCYL2
408,AHDC1
409,AHI1
410,AHNAK
411,AHNAK2
412,AHR
413,AHRR
414,AHSA1
415,AHSA2
416,AHSG
417,AHSP
418,AICDA
419,AIDA
420,AIF1
421,AIF1L
422,AIFM1
423,AIFM2
424,AIFM3
425,AIG1
426,AIM1
427,AIM1L
428,AIM2
429,AIMP1
430,AIMP2
431,AIP
432,AIPL1
433,AIRE
434,AJAP1
435,AJUBA
436,AK1
437,AK2
438,AK3
439,AK4
440,AK5
441,AK7
442,AK8
443,AKAP1
444,AKAP10
445,AKAP11
446,AKAP12
447,AKAP13
448,AKAP14
449,AKAP17A
450,AKAP2
451,AKAP3
452,AKAP4
453,AKAP5
454,AKAP6
455,AKAP7
456,AKAP8
457,AKAP8L
458,AKAP9
459,AKIP1
460,AKIRIN1
461,AKIRIN2
462,AKNA
463,AKNAD1
464,AKR1A1
465,AKR1B1
466,AKR1B10
467,AKR1B15
468,AKR1C1
469,AKR1C2
470,AKR1C3
471,AKR1C4
472,AKR1D1
473,AKR1E2
474,AKR7A2
475,AKR7A3
476,AKT1
477,AKT1S1
478,AKT2
479,AKT3
480,AKTIP
481,ALAD
482,ALAS1
483,ALAS2
484,ALB
485,ALCAM
486,ALDH16A1
487,ALDH18A1
488,ALDH1A1
489,ALDH1A2
490,ALDH1A3
491,ALDH1B1
492,ALDH1L1
493,ALDH1L2
494,ALDH2
495,ALDH3A1
496,ALDH3A2
497,ALDH3B1
498,ALDH3B2
499,ALDH4A1
500,ALDH5A1
501,ALDH6A1
502,ALDH7A1
503,ALDH8A1
504,ALDH9A1
505,ALDOA
506,ALDOB
507,ALDOC
508,ALG1
509,ALG10
510,ALG10B
511,ALG11
512,ALG12
513,ALG13
514,ALG14
515,ALG1L
516,ALG1L2
517,ALG2
518,ALG3
519,ALG5
520,ALG6
521,ALG8
522,ALG9
523,ALK
524,ALKBH1
525,ALKBH2
526,ALKBH3
527,ALKBH4
528,ALKBH5
529,ALKBH6
530,ALKBH7
531,ALKBH8
