sample_size,metric,mean,standard_deviation,minimum,median,maximum,2.5th_percentile,97.5th_percentile
50,AUROC,0.9244999999999999,0.07066941818542635,0.7649999999999999,0.9412499999999999,1.0,0.7863749999999999,0.9983124999999999
50,AUPRC,0.963269538627238,0.046398416839956116,0.8542293966600147,0.9798256052018599,1.0,0.8676633944837869,0.999607558139535
50,balanced_accuracy,0.89125,0.05529278132511213,0.7749999999999999,0.89375,0.975,0.7890624999999999,0.9665625
50,sensitivity,0.8825,0.04090979236211192,0.825,0.875,0.95,0.830625,0.95
50,specificity,0.9,0.09428090415820634,0.7,0.9,1.0,0.7224999999999999,1.0
50,brier_score,0.0926144606834004,0.03835083803143938,0.03296190457826889,0.09334933257008093,0.15732993353154265,0.036591221958956484,0.15031677339542918
100,AUROC,0.9671488848704041,0.026648419190109227,0.9204339963833634,0.9674502712477395,1.0,0.9240958408679927,0.9986437613019892
100,AUPRC,0.9845976886998165,0.018663977520411067,0.9386391454604471,0.9900390965890791,0.9999999999999998,0.9462960994255109,0.999672665001238
100,balanced_accuracy,0.931223628691983,0.030455702774608923,0.8779385171790235,0.9326401446654611,0.9746835443037974,0.8807866184448463,0.9718354430379746
100,sensitivity,0.9291139240506329,0.022485928429492354,0.8987341772151899,0.9240506329113924,0.9620253164556962,0.8987341772151899,0.9591772151898734
100,specificity,0.9333333333333333,0.05589465670367941,0.8571428571428571,0.9285714285714286,1.0,0.8571428571428571,1.0
100,brier_score,0.05489347873843135,0.02174969314977135,0.02006785201320231,0.05676545695006585,0.09139231816627154,0.023963761915879164,0.08924042431000166
200,AUROC,0.9782481975763153,0.01055012853251215,0.966866083755177,0.9739990796134377,0.9949378739070409,0.9670041417395305,0.9946962724344224
200,AUPRC,0.9927463016283233,0.0042208285175551075,0.987287081228923,0.9921802988697065,0.9986931012562535,0.9876489993630105,0.9986409189917647
200,balanced_accuracy,0.9394769136370609,0.018464686152451813,0.9166283172265686,0.9368768215984047,0.9630311397453597,0.9180434115661912,0.9629448535051388
200,sensitivity,0.949685534591195,0.016507354033567734,0.9245283018867925,0.9465408805031447,0.9748427672955975,0.9259433962264151,0.9734276729559749
200,specificity,0.9292682926829269,0.029200463408240576,0.9024390243902439,0.926829268292683,0.975609756097561,0.9024390243902439,0.975609756097561
200,brier_score,0.044806848661563134,0.014051118140334199,0.021693219507581744,0.04367657675431393,0.06493684434594758,0.024196239502476263,0.06356872359464223
300,AUROC,0.9794049878015721,0.005473368303225951,0.9680130116562754,0.9808213608023855,0.9872594198969911,0.9693090946055841,0.9863902819192193
300,AUPRC,0.993306655919497,0.002739845715896342,0.9863878055481003,0.9939104647108515,0.9962072013332908,0.9875713016156363,0.9959784954433377
300,balanced_accuracy,0.9436839251829763,0.010001235283490097,0.9285036595283275,0.9446326917863919,0.9589997289238277,0.9293727975060992,0.9575816616969369
300,sensitivity,0.9567226890756302,0.007683958949213012,0.9453781512605042,0.9558823529411765,0.9663865546218487,0.9463235294117647,0.9663865546218487
300,specificity,0.9306451612903224,0.01530134351694379,0.9032258064516129,0.9354838709677419,0.9516129032258065,0.9068548387096774,0.9516129032258065
300,brier_score,0.04087769654265898,0.007060955898973993,0.028788734061018388,0.0381974792166631,0.05112441835607709,0.03043555507460843,0.05080363058578968
397,AUROC,0.9832249322493226,0.0028290894173758235,0.9798683701122726,0.982636469221835,0.9889663182346109,0.9798945025164537,0.9881997677119628
397,AUPRC,0.9946528580539375,0.0014022145684229451,0.992457804218263,0.9942164133383771,0.9970995936278335,0.9927020576599498,0.9968796194155913
397,balanced_accuracy,0.94977158343012,0.004358404111108626,0.9427797135114209,0.9491289198606272,0.9581494386372436,0.9434939992257065,0.957491773132017
397,sensitivity,0.9653968253968254,0.005063909466245653,0.9587301587301588,0.9650793650793651,0.9714285714285714,0.9587301587301588,0.9714285714285714
397,specificity,0.9341463414634147,0.008526901204635333,0.926829268292683,0.9329268292682926,0.9512195121951219,0.926829268292683,0.9484756097560976
397,brier_score,0.034681299934363294,0.0026680230836111825,0.03103057378540264,0.03432319693283738,0.04047995879780137,0.03133105358374284,0.03982465189355238
