development_sample_size,metric,number_of_models,mean,standard_deviation,minimum,2.5th_percentile,median,97.5th_percentile,maximum
50,AUROC,50,0.907961017535223,0.12936992362248867,0.5282669022669197,0.5380137272311695,0.9586395550554423,0.9672673154464684,0.9676694329183955
50,AUPRC,50,0.9876344890373536,0.020774092555458493,0.9209163895659216,0.9219542531651506,0.9956119956185012,0.9967286967863687,0.9967554804964331
50,balanced_accuracy,50,0.8557513421009446,0.08934543779468948,0.6126126720116276,0.6224438910964203,0.884576022106571,0.9309391446597276,0.9359974623156809
50,sensitivity,50,0.82909604519774,0.15226538051935656,0.2891949152542373,0.349267302259887,0.884180790960452,0.955075918079096,0.9661016949152542
50,specificity,50,0.8824066390041493,0.15377191611434474,0.27385892116182575,0.34304979253112033,0.9315352697095436,0.979253112033195,1.0
50,brier_score,50,0.1430953177236521,0.13208130410884467,0.04659242049259206,0.0516176090230936,0.09956054789200199,0.5916308011684445,0.6362669911667601
100,AUROC,50,0.959970125067398,0.02033931272206296,0.8254880500269592,0.9414282459502543,0.9640072262465715,0.9694438705839604,0.9698964999882784
100,AUPRC,50,0.9959870288847575,0.0020581617986751154,0.9827707940190771,0.9937139162468407,0.9964445714015077,0.997050073857776,0.9971399464889555
100,balanced_accuracy,50,0.898649664767799,0.031212966646987535,0.7894586468809339,0.825998535556884,0.9106839879738379,0.9300067617858733,0.9326429425416696
100,sensitivity,50,0.870494350282486,0.0764209885121157,0.6038135593220338,0.6791754943502825,0.8861228813559322,0.9601253531073446,0.9661016949152542
100,specificity,50,0.926804979253112,0.0541711032033058,0.7427385892116183,0.7566390041493776,0.946058091286307,0.9741701244813278,0.979253112033195
100,brier_score,50,0.10369057165169121,0.05492606917250713,0.04455300716845576,0.045398448823794256,0.08955219076553736,0.2378171087140912,0.29420281076882815
200,AUROC,50,0.9514382604261904,0.07206853568167602,0.5987484469137538,0.6841968163197131,0.9659419907635323,0.9697228400379774,0.9702378859272803
200,AUPRC,50,0.9949285890810076,0.008586625669479467,0.9528689493976417,0.963129957383724,0.9967208298458421,0.9971668241554453,0.9971779755818024
200,balanced_accuracy,50,0.9118315135851092,0.04866378843945027,0.6819814157113722,0.7300874013936751,0.9229321242703424,0.9375649072836815,0.9398369552476733
200,sensitivity,50,0.8888912429378532,0.10882832030051033,0.3732344632768362,0.490333686440678,0.9080155367231638,0.9575035310734463,0.9597457627118644
200,specificity,50,0.9347717842323651,0.030915463071114802,0.8340248962655602,0.8649377593360996,0.9439834024896265,0.9700207468879668,0.991701244813278
200,brier_score,50,0.0942895991446194,0.09963709397457537,0.042905159611817456,0.044423509848005915,0.07604656906857893,0.46259007683783265,0.5749295075837088
300,AUROC,50,0.9680456021286072,0.0015007978587397086,0.9649002508380804,0.9656607502871745,0.9679060587945707,0.9706046194059591,0.9709543568464729
300,AUPRC,50,0.9969369760199559,0.0001926887523147416,0.9965079642074428,0.9966227396993591,0.9969147203943378,0.9972703191970725,0.9973247517721843
300,balanced_accuracy,50,0.9316181546991115,0.006187231816569511,0.9154285931968962,0.9206471827601567,0.9315821553320673,0.9409855980554188,0.9423087066601027
300,sensitivity,50,0.9223234463276836,0.019139124068032563,0.8806497175141242,0.8837217514124295,0.9256709039548022,0.9481638418079096,0.9537429378531074
300,specificity,50,0.9409128630705393,0.013082866142723729,0.9128630705394191,0.91701244813278,0.941908713692946,0.9585062240663901,0.9585062240663901
300,brier_score,50,0.06515202618298677,0.013165748053801992,0.0447038940192859,0.04686175931081739,0.06228916035454953,0.0907906352083543,0.09652044140958611
397,AUROC,1,0.9698745223527204,,0.9698745223527204,0.9698745223527204,0.9698745223527204,0.9698745223527204,0.9698745223527204
397,AUPRC,1,0.9971293871472462,,0.9971293871472462,0.9971293871472462,0.9971293871472462,0.9971293871472462,0.9971293871472462
397,balanced_accuracy,1,0.9390420974283236,,0.9390420974283236,0.9390420974283236,0.9390420974283236,0.9390420974283236,0.9390420974283236
397,sensitivity,1,0.9403248587570622,,0.9403248587570622,0.9403248587570622,0.9403248587570622,0.9403248587570622,0.9403248587570622
397,specificity,1,0.9377593360995851,,0.9377593360995851,0.9377593360995851,0.9377593360995851,0.9377593360995851,0.9377593360995851
397,brier_score,1,0.05394292854488723,,0.05394292854488723,0.05394292854488723,0.05394292854488723,0.05394292854488723,0.05394292854488723
