development_sample_size,number_of_models,metric,mean,standard_deviation,minimum,2.5th_percentile,median,97.5th_percentile,maximum
50,50,AUROC,0.8562397437700728,0.1577456092815347,0.5383978596713318,0.5410409084382398,0.949269756429191,0.9650901376093021,0.9683653913777339
50,50,AUPRC,0.9805002846596971,0.023325305003411186,0.922121539553924,0.9221890943149547,0.9947819345865629,0.9966039559243971,0.9968770953435097
50,50,balanced_accuracy,0.8230818505755211,0.10766878195228002,0.6045798462151581,0.610122679161685,0.8695418542091568,0.9249142322772348,0.9279199486602434
50,50,sensitivity,0.7637570621468925,0.21226613542504918,0.2701271186440678,0.32603283898305085,0.8677612994350283,0.9537782485875707,0.955861581920904
50,50,specificity,0.8824066390041494,0.1496821586265569,0.34024896265560167,0.36099585062240663,0.9273858921161826,0.9907676348547718,0.991701244813278
50,50,brier_score,0.20391981589293917,0.19144179805394293,0.04759908893926475,0.05408834486472947,0.11609322364370629,0.605934459605225,0.6455840719312318
100,50,AUROC,0.9433412599338914,0.07897975624074509,0.5295035105609864,0.6740960232201045,0.9621281384063578,0.9679610028834656,0.9691976111775322
100,50,AUPRC,0.9934557597320997,0.01216231651813097,0.9208888779699163,0.9616513031439966,0.996110730626337,0.9969257590388056,0.9969670665379274
100,50,balanced_accuracy,0.8892634708254215,0.05937548310289338,0.6193627364793586,0.6976687772522682,0.907392837049019,0.9367504161099,0.9412054293550882
100,50,sensitivity,0.8653319209039548,0.10432724009039451,0.3453389830508475,0.6511564265536723,0.899364406779661,0.9548993644067796,0.9590395480225988
100,50,specificity,0.9131950207468879,0.10302182191172103,0.2821576763485477,0.7644190871369294,0.9356846473029046,0.9773858921161825,0.9875518672199171
100,50,brier_score,0.10983046078698516,0.08530359619840627,0.04878013785412665,0.050849912549687765,0.08343092736012671,0.2572096379986244,0.5915177293768646
200,50,AUROC,0.9628067784888763,0.00660263375361214,0.9326605246501158,0.9422764727946175,0.9644394530792133,0.9688856752701784,0.9702085824132028
200,50,AUPRC,0.9961545711443648,0.0010351586592313542,0.9909937736705026,0.9931293693077187,0.9964114766111463,0.9970380655152671,0.9972988113259575
200,50,balanced_accuracy,0.9202217396910237,0.011961904170677615,0.882054821014136,0.8879166043966992,0.9216284841878237,0.9368858349743301,0.9385131689992264
200,50,sensitivity,0.9167090395480227,0.025382423336342667,0.8545197740112994,0.8642213983050847,0.9242584745762712,0.9475812146892655,0.9523305084745762
200,50,specificity,0.9237344398340248,0.028141074617849978,0.8340248962655602,0.8598547717842323,0.9253112033195021,0.9585062240663901,0.9585062240663901
200,50,brier_score,0.07019737610929676,0.017134394501747703,0.04746820078602035,0.050567029235390755,0.06551277689506915,0.10689037177990515,0.11197505305486348
300,50,AUROC,0.9653423236514523,0.002573545100703693,0.9581970719928734,0.960084254928851,0.9656606770283893,0.9692944226621655,0.9705836673933939
300,50,AUPRC,0.99645616005211,0.0004236263410730496,0.9951741972400266,0.9954373742955249,0.9965186624272449,0.9970156308912838,0.9970442442478914
300,50,balanced_accuracy,0.9272578504114213,0.007903909012634816,0.9075715884848912,0.9090324785498278,0.9289342165412476,0.9368978494151018,0.9423087066601027
300,50,sensitivity,0.920656779661017,0.020270700346875895,0.8580508474576272,0.874902895480226,0.9231991525423728,0.948093220338983,0.9551553672316384
300,50,specificity,0.9338589211618258,0.02141214717609143,0.8755186721991701,0.8847510373443983,0.941908713692946,0.9617219917012448,0.9626556016597511
300,50,brier_score,0.0668640924931582,0.013310602366273233,0.04438436193351457,0.048812971699555986,0.0636472937528213,0.09705265551012149,0.10832690539118729
405,1,AUROC,0.9671712731790796,0.0,0.9671712731790796,0.9671712731790796,0.9671712731790796,0.9671712731790796,0.9671712731790796
405,1,AUPRC,0.9965697567155143,0.0,0.9965697567155143,0.9965697567155143,0.9965697567155143,0.9965697567155143,0.9965697567155143
405,1,balanced_accuracy,0.9340539067444968,0.0,0.9340539067444968,0.9340539067444968,0.9340539067444968,0.9340539067444968,0.9340539067444968
405,1,sensitivity,0.9427966101694916,0.0,0.9427966101694916,0.9427966101694916,0.9427966101694916,0.9427966101694916,0.9427966101694916
405,1,specificity,0.9253112033195021,0.0,0.9253112033195021,0.9253112033195021,0.9253112033195021,0.9253112033195021,0.9253112033195021
405,1,brier_score,0.050983641312384045,0.0,0.050983641312384045,0.050983641312384045,0.050983641312384045,0.050983641312384045,0.050983641312384045
