sample_size,metric,mean,standard_deviation,minimum,median,maximum,2.5th_percentile,97.5th_percentile
50,AUROC,0.9177500000000001,0.06320656171984393,0.7750000000000001,0.91625,0.99,0.7980625000000001,0.9860625
50,AUPRC,0.9606470326906088,0.03870061957312965,0.8847983907638246,0.9710852319531957,0.9975434981684982,0.891151948247947,0.9965407351080737
50,balanced_accuracy,0.9,0.05068968775248515,0.8,0.9187500000000001,0.95,0.8084375,0.95
50,sensitivity,0.8800000000000001,0.04533823502911814,0.8,0.8875,0.95,0.805625,0.944375
50,specificity,0.9199999999999999,0.07888106377466152,0.8,0.9,1.0,0.8,1.0
50,brier_score,0.09395583576167665,0.03460105091808374,0.06140644479831284,0.07889613830179451,0.17729624247451867,0.06216002633298305,0.16316042568560757
100,AUROC,0.959625,0.022692463873864987,0.926875,0.9637499999999999,0.9856250000000001,0.9282812500000001,0.9849218750000001
100,AUPRC,0.9853091196888892,0.011122151880326564,0.9670541768785808,0.9881547602745682,0.9968512940651493,0.9684074316391591,0.9966057099413709
100,balanced_accuracy,0.9118750000000002,0.029233554256101735,0.8812500000000001,0.9031250000000001,0.96875,0.88265625,0.96453125
100,sensitivity,0.91875,0.027163343355011027,0.8625,0.925,0.95,0.868125,0.9471875
100,specificity,0.905,0.04972144630058766,0.85,0.9,1.0,0.85,0.98875
100,brier_score,0.06781094535761126,0.017946316013818187,0.04357297630629468,0.06635059385843722,0.1072665151383668,0.044976761080943645,0.10151996425039331
200,AUROC,0.9713281250000001,0.011429710936882642,0.954375,0.972421875,0.98875,0.9549023437499999,0.98846875
200,AUPRC,0.9918183073876026,0.003567757918936729,0.9865088218249335,0.9922076266663019,0.9975037549313136,0.986860639928537,0.9973652590014384
200,balanced_accuracy,0.925,0.023799290955824712,0.88125,0.9234375,0.959375,0.887578125,0.957265625
200,sensitivity,0.9349999999999999,0.017726706155152226,0.9125,0.934375,0.9625,0.9139062499999999,0.9610937500000001
200,specificity,0.915,0.035746017649212015,0.85,0.9,0.975,0.86125,0.969375
200,brier_score,0.05559390382749183,0.015464856411606286,0.037556793838722784,0.05191212465666355,0.07914322701943338,0.03834039977917967,0.07747822516992481
300,AUROC,0.9700528156938061,0.006450321373926117,0.9526716510048701,0.9720145414637492,0.9750325811098154,0.9561441113930997,0.974723917964195
300,AUPRC,0.9910604056129904,0.002597157887361806,0.9843042123698366,0.9918831742239659,0.993129177289678,0.9856745404387934,0.993124060840929
300,balanced_accuracy,0.9223506413334249,0.007365141766559807,0.9091501474723918,0.9215309692022773,0.9339117909321627,0.9105236984704026,0.933008951231223
300,sensitivity,0.9414225941422595,0.010057325733511832,0.9288702928870293,0.9414225941422594,0.9581589958158996,0.9288702928870293,0.9572175732217574
300,specificity,0.9032786885245901,0.012096144055288896,0.8852459016393442,0.9016393442622951,0.9180327868852459,0.8852459016393442,0.9180327868852459
300,brier_score,0.05452381069362129,0.005456176014562499,0.04275386264393697,0.055085471429075245,0.060865004587049375,0.044231954630130015,0.06083790322919651
405,AUROC,0.9764101789624707,0.004434151673664761,0.9677565506305219,0.9767990636562712,0.9816884391754135,0.9688609076493242,0.9816204787434871
405,AUPRC,0.9933123286777853,0.0015335827529839295,0.9905938864937477,0.9933523124958408,0.9952232846415838,0.9909155993998476,0.9952216457722763
405,balanced_accuracy,0.9353262100732461,0.008527357445791563,0.9234501245941252,0.9348712527372952,0.9478403684965642,0.9237984218077475,0.9471650117042966
405,sensitivity,0.9547987616099072,0.004884276394715909,0.9473684210526315,0.955108359133127,0.9628482972136223,0.9473684210526315,0.9621517027863777
405,specificity,0.9158536585365853,0.017672410666084663,0.8902439024390244,0.9146341463414634,0.9390243902439024,0.8902439024390244,0.9390243902439024
405,brier_score,0.04630919472001273,0.0032101734410219704,0.04183412752467086,0.045410272832622556,0.051407553031702725,0.042166790074424844,0.05108987455456799
