sample_size,gene,times_selected,selection_frequency
50,AGR2,50,1.0
50,AGR3,50,1.0
50,C6orf97,50,1.0
50,CA12,50,1.0
50,CMBL,50,1.0
50,DEGS2,50,1.0
50,DNALI1,50,1.0
50,ERBB4,50,1.0
50,ESR1,50,1.0
50,FBP1,50,1.0
50,GATA3,50,1.0
50,GFRA1,50,1.0
50,INPP5J,50,1.0
50,LPIN1,50,1.0
50,MLPH,50,1.0
50,NAT1,50,1.0
50,NME3,50,1.0
50,PSAT1,50,1.0
50,TBC1D9,50,1.0
50,UBXN10,50,1.0
100,A2ML1,50,1.0
100,ABAT,50,1.0
100,AFF3,50,1.0
100,AGR2,50,1.0
100,AGR3,50,1.0
100,ANXA9,50,1.0
100,AR,50,1.0
100,ARSG,50,1.0
100,ART3,50,1.0
100,B3GNT5,50,1.0
100,BCAM,50,1.0
100,BCL11A,50,1.0
100,C10orf116,50,1.0
100,C6orf211,50,1.0
100,C6orf97,50,1.0
100,C9orf116,50,1.0
100,CA12,50,1.0
100,CCDC24,50,1.0
100,CCDC96,50,1.0
100,CDCA7,50,1.0
200,A2ML1,50,1.0
200,ABAT,50,1.0
200,ABCC8,50,1.0
200,ABTB2,50,1.0
200,ACADSB,50,1.0
200,ACE2,50,1.0
200,ACTR3C,50,1.0
200,ADAM17,50,1.0
200,ADAMTS15,50,1.0
200,AFF3,50,1.0
200,AGR2,50,1.0
200,AGR3,50,1.0
200,AK8,50,1.0
200,AKR1E2,50,1.0
200,AMD1,50,1.0
200,ANKLE1,50,1.0
200,ANKRA2,50,1.0
200,ANKRD30A,50,1.0
200,ANKRD42,50,1.0
200,ANXA9,50,1.0
300,A2ML1,50,1.0
300,ABAT,50,1.0
300,ABCC8,50,1.0
300,ABTB2,50,1.0
300,ACADSB,50,1.0
300,ACE2,50,1.0
300,ACOT4,50,1.0
300,ACTR3C,50,1.0
300,ADAM17,50,1.0
300,ADAMTS15,50,1.0
300,ADCY9,50,1.0
300,AFF3,50,1.0
300,AGR2,50,1.0
300,AGR3,50,1.0
300,AGTPBP1,50,1.0
300,AIF1L,50,1.0
300,AK8,50,1.0
300,ALAD,50,1.0
300,AMD1,50,1.0
300,ANKLE1,50,1.0
405,A2ML1,50,1.0
405,ABAT,50,1.0
405,ABCC8,50,1.0
405,ABHD14A,50,1.0
405,ABTB2,50,1.0
405,ACADSB,50,1.0
405,ACBD7,50,1.0
405,ACE2,50,1.0
405,ACER2,50,1.0
405,ACOT4,50,1.0
405,ACTR3C,50,1.0
405,ADAM17,50,1.0
405,ADAMTS15,50,1.0
405,ADCY9,50,1.0
405,AFF3,50,1.0
405,AGR2,50,1.0
405,AGR3,50,1.0
405,AGTPBP1,50,1.0
405,AIF1L,50,1.0
405,AK8,50,1.0
